설치,날짜,종별,지사,총사용량,primary_type,secondary_types,severity,if_score,ae_score,mp_score,gmm_log_likelihood,context_zscore
Inst_5563,2025-06-20,주택용,Branch_0001,4.2,간헐사용형,패턴이탈형,0.9389356,0.11965023,0.005301696,0.93561566,20.198435,3.722221
Inst_5654,2024-11-12,주택용,Branch_0001,15.82,간헐사용형,,0.86285555,0.09363451,0.0029047604,0.498648,31.190786,2.0299249
Inst_4555,2025-09-19,주택용,Branch_0011,4.2,간헐사용형,,0.8527072,0.090164274,0.0037781445,0.0,44.695766,5.999997
Inst_4771,2021-08-22,주택용,Branch_0001,5.88,간헐사용형,,0.8522684,0.09001421,0.001565693,0.9123998,47.774673,10.250002
Inst_3548,2024-08-23,주택용,Branch_0013,3.36,간헐사용형,,0.85085374,0.08953045,0.008390837,0.0,36.855938,5.853655
Inst_4566,2025-08-24,주택용,Branch_0011,3.36,간헐사용형,,0.84877354,0.088819146,0.0070957653,0.0,36.838352,6.0000014
Inst_4329,2024-08-10,주택용,Branch_0002,5.04,간헐사용형,,0.84717387,0.08827212,0.0038224133,2.2302017e-07,36.852814,13.500004
Inst_6715,2021-07-17,주택용,Branch_0006,4.2,간헐사용형,,0.84714115,0.08826096,0.0046408228,0.0,45.063564,8.100001
Inst_5552,2025-09-01,주택용,Branch_0001,4.2,간헐사용형,,0.8444105,0.08732717,0.004368266,0.0,30.552662,5.263154
Inst_4055,2024-05-29,주택용,Branch_0013,3.25,간헐사용형,패턴이탈형,0.84274,0.08675596,0.0059406,0.8544172,34.10295,0.57499975
Inst_7929,2021-06-12,업무용,Branch_0010,24.66,계절역행형,"급증형,야간이상형,주말이상형,기저유량이상형",1.0,0.14053135,0.0020159695,0.0,41.606586,204.50002
Inst_7597,2022-05-03,업무용,Branch_0007,27.41,계절역행형,"급증형,야간이상형,기저유량이상형",0.9994724,0.14035092,0.001657865,0.12018386,42.35214,1369.5
Inst_3126,2022-10-23,공공용,Branch_0008,90.52,계절역행형,"급증형,주말이상형,기저유량이상형",0.9913759,0.13758233,9.93273e-05,0.51184654,61.577675,9051.0
Inst_8023,2025-09-20,업무용,Branch_0002,27.49,계절역행형,"급증형,야간이상형,주말이상형,기저유량이상형",0.9896366,0.13698757,0.0016385618,0.010815113,42.4597,304.44443
Inst_3128,2022-08-12,공공용,Branch_0008,99.27998,계절역행형,기저유량이상형,0.98404753,0.13507637,0.00011836176,1.1490431,61.641327,3308.333
Inst_7747,2021-08-11,업무용,Branch_0017,24.66,계절역행형,"급증형,야간이상형,기저유량이상형",0.9825583,0.13456714,0.0020159695,0.0127548985,41.606586,44.666664
