type,n_valid,if_contamination,if_f1,if_anomalies,if_anomaly_pct,ae_top_pct,ae_f1,ae_anomalies,ae_anomaly_pct,mp_top_pct,mp_f1,mp_anomalies,mp_anomaly_pct
주택용,8336324,0.05,0.4574173236416029,416817,5.000009596555987,0.03,0.6714233606225176,246776,2.9602496256143596,0.05,0.04618420754160586,414762,4.975358443361847
업무용,5155597,0.05,0.13316762929324105,257780,5.00000290945937,0.05,0.32782331868585796,175706,3.4080631205270695,0.05,0.04758631081310154,303969,4.786522172439764
공공용,1617120,0.05,0.096586763710521,80856,5.0,0.05,0.23125035473068847,55188,3.41273374888691,0.05,0.0514811546703643,84438,4.817043289951914
냉수용,95556,0.05,0.15367263499224587,4778,5.000209301352087,0.05,0.413826998689384,3789,3.965214115283185,0.05,0.04599065351235072,10495,4.984848340917079
