type,n_valid,if_contamination,if_f1,if_anomalies,if_anomaly_pct,ae_top_pct,ae_f1,ae_anomalies,ae_anomaly_pct,mp_top_pct,mp_f1,mp_anomalies,mp_anomaly_pct
주택용,8336324,0.05,0.3967495450327215,416817,5.000009596555987,0.05,0.5251352677777794,411172,4.932293898365755,0.05,0.04870157848507159,414762,4.975358443361847
업무용,5155597,0.05,0.0703680736422892,257780,5.00000290945937,0.05,0.07209950859074667,175363,3.40141015676749,0.05,0.04408910163390686,303969,4.786522172439764
공공용,1617120,0.05,0.09758026948397247,80856,5.0,0.05,0.22880429833348512,54931,3.396841298110221,0.05,0.04946384752428653,84438,4.817043289951914
냉수용,95556,0.05,0.19994319795512638,4778,5.000209301352087,0.05,0.475244245736049,3775,3.9505630206371136,0.05,0.04735829510137635,10495,4.984848340917079
