group,n_total,n_valid,n_zero_excluded,best_k,best_bic,log_likelihood_mean,log_likelihood_q01,log_likelihood_q05
주택용_난방시즌,3450708,3407634,43074,8,-22978167.16930682,76.66941833496094,39.52006912231445,56.65092086791992
주택용_비난방시즌,4885616,4815802,69814,8,-16735253.73241717,55.874961853027344,23.486160278320312,36.367515563964844
업무용_난방시즌,2620872,1640406,980466,8,-16801898.40099627,56.07999801635742,21.205873489379883,29.826547622680664
업무용_비난방시즌,3729647,2383438,1346209,7,-13413439.800906155,44.809974670410156,13.370514869689941,23.796689987182617
공공용_난방시즌,726377,513179,213198,8,-14746064.584467951,49.21757888793945,12.43968677520752,24.999868392944336
공공용_비난방시즌,1026524,642290,384234,8,-12821082.5135451,42.85234069824219,12.918307304382324,24.96433448791504
냉수용_냉방시즌,70486,60794,9692,4,-4960497.257591171,40.9152717590332,-1.9804792404174805,21.22687339782715
냉수용_비냉방시즌,140052,38785,101267,4,-3011882.912327475,39.0048713684082,-3.7856650352478027,9.882246017456055
