group,n_total,n_valid,n_zero_excluded,best_k,best_bic,log_likelihood_mean,log_likelihood_q01,log_likelihood_q05
주택용_난방시즌,3450708,3407634,43074,8,-26146235.101435725,87.1319580078125,35.037986755371094,58.47079086303711
주택용_비난방시즌,4885616,4815802,69814,8,-18367604.65404803,60.770240783691406,27.7369384765625,39.58211898803711
업무용_난방시즌,2620872,1640406,980466,8,-19350316.827509943,64.07373046875,22.0966739654541,35.75865173339844
업무용_비난방시즌,3729647,2383438,1346209,8,-16717790.048335139,56.5444450378418,4.1523942947387695,31.514202117919922
공공용_난방시즌,726377,513179,213198,8,-17174118.63109881,58.22928237915039,10.207667350769043,28.405534744262695
공공용_비난방시즌,1026524,642290,384234,8,-17213192.19372088,57.99553298950195,16.475099563598633,25.54149055480957
냉수용_냉방시즌,70486,60794,9692,2,-6348848.220700697,52.274871826171875,-18.55178451538086,20.393325805664062
냉수용_비냉방시즌,140052,38785,101267,4,-3763073.9005248016,48.68891143798828,-4.781176567077637,10.181729316711426
