설치,날짜,종별,지사,총사용량,primary_type,secondary_types,severity,if_score,ae_score,mp_score,gmm_log_likelihood,context_zscore
Inst_7557,2024-03-02,공공용,Branch_0009,102.19999,주말이상형,기저유량이상형,0.8864258,0.10169442,8.69034e-05,0.8335042,67.100174,728.99994
Inst_2303,2023-01-15,공공용,Branch_0002,42.339996,주말이상형,기저유량이상형,0.886073,0.10157375,0.00013321619,0.6576749,62.758686,123.52941
Inst_6336,2023-05-16,주택용,Branch_0009,0.40999997,패턴이탈형,,0.86112374,0.09304231,0.006285757,0.94095945,-2.5640414,-1.7421871
Inst_6375,2024-06-03,주택용,Branch_0001,0.32,패턴이탈형,,0.8600735,0.09268318,0.005563388,0.9152543,27.72215,-1.6666663
Inst_8531,2022-08-13,주택용,Branch_0011,0.059999995,패턴이탈형,,0.8512322,0.089659885,0.0030742919,0.7007132,16.905708,-2.25
Inst_8887,2021-11-26,주택용,Branch_0010,3.16,패턴이탈형,,0.8494971,0.08906656,0.0037564982,0.35379505,31.111763,-0.6800671
Inst_1694,2025-08-28,주택용,Branch_0006,0.32,패턴이탈형,,0.8463635,0.087995015,0.004361953,1.2750025,-13.867424,-1.4999998
Inst_6223,2021-05-14,주택용,Branch_0010,0.56999993,패턴이탈형,,0.84299535,0.08684329,0.0040488364,1.3822151,20.443508,-1.5766424
Inst_6336,2023-05-19,주택용,Branch_0009,0.39999998,패턴이탈형,,0.84203905,0.086516246,0.0060541388,0.59180146,11.130585,-1.7272725
Inst_2544,2024-01-25,업무용,Branch_0002,15.489999,패턴이탈형,,0.84111416,0.0862,0.0016893777,0.5971402,40.449757,9.12418
Inst_5042,2024-11-18,업무용,Branch_0014,2.8400002,패턴이탈형,,0.83900183,0.08547769,0.0006976318,0.2240836,57.62276,2.0555553
Inst_6223,2023-05-18,주택용,Branch_0010,0.6399999,패턴이탈형,,0.8371952,0.08485991,0.002969209,1.1293998,30.34346,-1.5174824
