종별,날짜,true_label,is_true_anomaly,ours_flag,baseline_flag,if_score_eval,ae_score_eval,총사용량
주택용,2022-09-22,normal,0,0,0,-0.18748604,0.00013650682,3.250000476837158
주택용,2023-11-12,normal,0,0,1,-0.10979356,3.5796875e-05,8.069999694824219
주택용,2025-07-14,normal,0,0,1,-0.036953453,0.0016170972,0.6399999260902405
주택용,2025-11-18,normal,0,0,0,-0.15346895,5.905825e-05,15.520000457763672
주택용,2025-04-11,normal,0,1,0,-0.16459328,0.00011830331,2.81000018119812
주택용,2021-07-16,normal,0,0,1,-0.12934436,0.00041609223,0.20000001788139343
주택용,2023-06-20,normal,0,0,0,-0.1745997,0.00013079487,3.580000162124634
주택용,2021-08-22,normal,0,0,1,-0.13619788,0.00028659942,1.6000001430511475
주택용,2023-02-28,normal,0,0,0,-0.18772092,1.9127678e-05,7.319999694824219
주택용,2022-10-10,normal,0,1,0,-0.09701609,0.0008498959,0.3199999928474426
주택용,2021-03-07,normal,0,0,1,-0.16262747,0.00019735843,9.469999313354492
주택용,2021-09-28,normal,0,0,1,-0.15132193,0.00034010757,2.129999876022339
주택용,2025-02-26,normal,0,0,0,-0.12784345,3.0525345e-05,11.40999984741211
주택용,2023-10-02,normal,0,0,0,-0.052850623,0.000999133,0.7199999094009399
주택용,2022-08-13,normal,0,0,0,-0.120714165,0.00070025795,1.2799999713897705
주택용,2023-06-03,normal,0,0,0,-0.10918559,0.0007705437,1.1999999284744263
주택용,2025-04-22,normal,0,0,1,-0.14532048,0.0002770784,0.38999998569488525
주택용,2021-05-16,normal,0,0,0,-0.16237645,0.0002430138,2.9300003051757812
주택용,2023-07-04,normal,0,0,0,-0.087921515,0.00084852084,0.9599998593330383
주택용,2024-03-15,normal,0,0,0,-0.17064142,6.41339e-05,14.110000610351562
주택용,2023-02-22,normal,0,0,0,-0.19453083,5.6288773e-05,4.789999961853027
주택용,2022-05-07,normal,0,1,0,-0.1750896,0.00012365064,4.010000228881836
주택용,2024-01-16,normal,0,0,0,-0.1799837,4.7309946e-05,16.219999313354492
주택용,2022-05-26,normal,0,0,0,-0.103236906,0.00082847476,1.2100000381469727
주택용,2022-02-22,normal,0,0,1,-0.18265384,2.49581e-05,12.670000076293945
주택용,2024-05-29,normal,0,0,1,-0.14157689,0.00033880014,1.5200001001358032
주택용,2021-02-09,normal,0,0,0,-0.1902372,3.4555866e-05,8.430000305175781
