종별,간헐사용형,계절역행형,급증형,기저유량이상형,야간이상형,연속가동형,장기미사용후급증형,주말이상형,패턴이탈형,전체
공공용,404,51345,80409,770063,131179,213198,814,194886,54564,1496862
냉수용,0,7062,2012,182088,19242,0,134,0,0,210538
업무용,9388,186504,137951,2702561,299400,980466,3014,1089410,156078,5564772
주택용,126353,48932,11883,1259746,65256,1923,384,0,769732,2284209
