종별,날짜,true_label,is_true_anomaly,ours_flag,baseline_flag,if_score_eval,ae_score_eval,총사용량
주택용,2025-02-12,normal,0,0,0,-0.14264189,1.466175e-05,14.120000839233398
주택용,2021-06-03,normal,0,0,0,-0.11860588,0.00040373032,1.540000081062317
주택용,2023-10-30,normal,0,0,0,-0.16918863,7.865385e-05,3.680000066757202
주택용,2021-04-20,normal,0,0,1,-0.16893864,0.00014138303,5.169999599456787
주택용,2023-04-11,normal,0,0,0,-0.18626449,0.000114020804,5.760000228881836
주택용,2024-03-03,normal,0,0,0,-0.18789561,3.7093454e-05,7.579999923706055
주택용,2024-07-26,normal,0,0,1,-0.1424168,0.000678698,1.2799999713897705
주택용,2025-03-10,normal,0,0,0,-0.17287284,7.402698e-05,7.180000305175781
주택용,2023-09-28,normal,0,0,0,-0.09816326,0.0009542466,1.0399998426437378
주택용,2023-09-18,normal,0,0,1,-0.15699178,0.00027278435,0.320000022649765
주택용,2021-11-24,normal,0,0,1,-0.17418583,3.742341e-05,12.499999046325684
주택용,2022-12-10,normal,0,0,0,-0.17171001,2.4444664e-05,17.639999389648438
주택용,2025-11-25,normal,0,0,0,-0.15938644,4.2285883e-05,13.59000015258789
주택용,2023-10-15,normal,0,0,0,-0.12778987,0.0005990339,1.2799999713897705
주택용,2021-01-22,normal,0,0,0,-0.1622168,4.182672e-05,14.100000381469727
주택용,2025-11-07,normal,0,0,0,-0.16669573,0.00017920294,4.739999294281006
주택용,2023-09-13,normal,0,0,0,-0.09554518,0.0009974308,1.119999885559082
주택용,2022-04-08,normal,0,0,0,-0.1900001,2.568589e-05,7.260000228881836
주택용,2024-11-03,normal,0,0,0,-0.17156449,9.291307e-05,8.15999984741211
주택용,2024-03-24,normal,0,0,0,-0.17366113,0.000117396026,7.350000381469727
주택용,2022-02-07,normal,0,0,0,-0.17822443,2.4591807e-05,14.930000305175781
주택용,2022-04-08,normal,0,0,0,-0.17027597,0.00014341332,3.75
주택용,2025-05-17,normal,0,0,0,-0.10146088,0.0007531864,1.119999885559082
주택용,2024-11-15,normal,0,0,1,-0.19180737,5.126769e-05,5.420000076293945
주택용,2024-02-04,normal,0,0,0,-0.18677087,4.0206785e-05,7.549999237060547
주택용,2022-03-17,normal,0,0,0,-0.18288352,5.794068e-05,0.7599999308586121
주택용,2024-04-30,normal,0,0,0,-0.17669615,5.2564224e-05,6.599999904632568
주택용,2025-10-12,normal,0,0,1,-0.1514121,0.0001590438,2.5500004291534424
주택용,2025-08-22,normal,0,0,0,-0.19149701,3.617461e-05,1.750000238418579
주택용,2023-03-11,normal,0,0,1,-0.10349333,0.0005162339,1.1999999284744263
주택용,2024-03-31,normal,0,0,1,-0.176652,0.00011746327,3.1800003051757812
주택용,2021-05-02,normal,0,0,1,-0.18165056,6.368332e-05,4.950000286102295
주택용,2022-01-02,normal,0,0,0,-0.17155191,5.81287e-05,1.2700002193450928
주택용,2023-10-31,normal,0,0,0,-0.13048577,0.00022952746,1.5299999713897705
주택용,2024-07-24,normal,0,0,0,-0.11890426,0.00065175723,1.369999885559082
주택용,2022-04-05,normal,0,0,1,-0.18598634,5.979743e-05,4.289999961853027
주택용,2024-11-09,normal,0,0,0,-0.16655298,6.896187e-05,3.700000286102295
주택용,2023-03-12,normal,0,0,0,-0.16813032,0.00012528105,6.440000534057617
주택용,2025-08-30,normal,0,0,0,-0.05228448,0.0010702055,0.7199999094009399
주택용,2024-02-06,normal,0,0,0,-0.15972632,0.00014613905,0.4899999499320984
주택용,2023-08-21,normal,0,0,0,-0.15414119,0.00034495848,1.880000114440918
주택용,2023-03-29,normal,0,0,0,-0.17545472,8.980049e-05,5.5
주택용,2024-12-05,normal,0,0,0,-0.14913097,4.8453625e-05,11.889999389648438
주택용,2021-06-09,normal,0,0,1,-0.17222942,0.00017360349,3.1700003147125244
주택용,2023-03-18,normal,0,0,0,-0.182549,9.373282e-05,2.0200002193450928
주택용,2023-08-20,normal,0,0,1,-0.1418964,0.00043428442,1.7099997997283936
주택용,2025-09-07,normal,0,0,0,-0.16225351,0.00020797143,0.2900000214576721
주택용,2025-01-02,normal,0,0,0,-0.18821542,1.5012436e-05,9.65999984741211
주택용,2021-12-11,normal,0,0,1,-0.16188776,3.977476e-05,18.809999465942383
주택용,2025-01-02,normal,0,0,0,-0.17882286,3.7361e-05,9.230000495910645
주택용,2021-03-02,normal,0,0,1,-0.17519845,1.4273129e-05,17.540000915527344
주택용,2021-06-29,normal,0,0,1,-0.08285102,0.00090956216,0.8799998760223389
주택용,2024-09-30,normal,0,0,1,-0.08799567,0.0008822877,2.0400002002716064
주택용,2024-11-06,normal,0,0,0,-0.13480273,0.00031890662,0.6300000548362732
주택용,2023-05-05,normal,0,0,0,-0.14005041,0.00048519656,1.869999885559082
주택용,2023-02-02,normal,0,0,0,-0.18613517,2.9391531e-05,12.510000228881836
주택용,2024-09-03,normal,0,0,1,-0.116338156,0.0007711249,1.0399998426437378
주택용,2021-03-01,normal,0,0,1,-0.16686516,3.6210866e-05,13.610000610351562
주택용,2025-11-29,normal,0,0,0,-0.16113994,5.3395055e-05,15.670000076293945
주택용,2022-10-16,normal,0,0,0,-0.17286177,6.0975144e-05,3.0900003910064697
주택용,2023-01-18,normal,0,0,0,-0.19043255,2.3360531e-05,9.739999771118164
주택용,2025-07-14,normal,0,0,0,-0.1191396,0.00038131417,1.46999990940094
주택용,2023-05-06,normal,0,0,1,-0.081692666,0.00079738494,0.9599998593330383
주택용,2023-08-28,normal,0,0,0,-0.055007674,0.0010898511,0.7999998927116394
주택용,2024-11-26,normal,0,0,0,-0.1647717,5.8503705e-05,12.510000228881836
주택용,2022-04-30,normal,0,0,0,-0.1360754,0.0006688964,2.0399999618530273
주택용,2021-08-22,normal,0,0,1,-0.14525186,0.0003196881,2.2299997806549072
주택용,2023-06-25,normal,0,0,0,-0.15743184,0.0003429117,1.7800002098083496
주택용,2021-03-12,normal,0,0,1,-0.17717628,2.1822612e-05,10.489999771118164
주택용,2022-12-05,normal,0,0,0,-0.16175994,6.132262e-05,10.50999927520752
주택용,2025-09-16,normal,0,0,0,-0.14271724,0.0003778415,1.540000081062317
주택용,2024-02-01,normal,0,0,0,-0.17602356,4.5527133e-05,8.770000457763672
주택용,2024-12-30,normal,0,0,0,-0.17628549,2.0761914e-05,19.290000915527344
주택용,2025-07-24,normal,0,0,0,-0.14411297,0.00039954405,1.3600000143051147
주택용,2024-12-14,normal,0,0,0,-0.17263606,5.7281402e-05,2.660000801086426
주택용,2025-06-06,normal,0,0,0,-0.07124084,0.00066628587,0.7999999523162842
주택용,2024-04-25,normal,0,0,0,-0.1622617,0.0002265837,2.130000114440918
주택용,2023-01-06,normal,0,0,0,-0.13395397,8.510149e-05,30.15999984741211
주택용,2022-12-20,normal,0,0,1,-0.16680753,3.728506e-05,21.73000144958496
주택용,2024-12-21,normal,0,0,0,-0.12421253,8.142181e-05,28.989994049072266
주택용,2023-08-22,normal,0,0,0,-0.03605031,0.0013206848,0.7199999094009399
주택용,2022-06-02,normal,0,0,0,-0.1730638,8.54638e-05,4.760000228881836
주택용,2023-05-03,normal,0,0,0,-0.035661213,0.0011421654,0.7199999094009399
주택용,2025-06-03,normal,0,0,0,-0.16265379,0.00023546834,3.1000001430511475
주택용,2024-03-04,normal,0,0,0,-0.17344509,5.3426353e-05,13.510000228881836
주택용,2023-01-03,normal,0,0,0,-0.15623216,4.3768425e-05,26.76000213623047
주택용,2024-01-08,normal,0,0,0,-0.17970894,4.513164e-05,8.75
주택용,2023-10-22,normal,0,0,0,-0.13578822,9.3291135e-05,4.600000381469727
주택용,2022-05-05,normal,0,0,0,-0.17381363,7.496638e-05,5.03000020980835
주택용,2025-09-19,normal,0,0,0,-0.06518976,0.0008281902,1.2099997997283936
주택용,2025-03-26,normal,0,0,1,-0.15220612,0.0002513465,2.8199996948242188
주택용,2024-04-06,normal,0,0,0,-0.18898961,2.1373451e-05,7.159999847412109
주택용,2025-03-17,normal,0,0,0,-0.17685606,8.6979555e-05,0.7099997997283936
주택용,2021-08-07,normal,0,0,1,-0.15828674,0.00041913745,1.440000057220459
주택용,2023-06-26,normal,0,0,0,-0.06618376,0.0009904661,0.7999998927116394
주택용,2024-08-28,normal,0,0,0,-0.17511474,0.0002383712,1.9500001668930054
주택용,2021-11-20,normal,0,0,1,-0.18242894,0.00011644131,3.870000123977661
주택용,2025-09-07,normal,0,0,0,-0.15704913,0.0001521393,2.4800000190734863
주택용,2023-03-24,normal,0,0,1,-0.10164978,0.0009230594,1.119999885559082
주택용,2021-04-30,normal,0,0,0,-0.14194825,0.00018668914,3.570000171661377
주택용,2021-05-17,normal,0,0,1,-0.1502173,6.521814e-05,0.6399999856948853
주택용,2025-08-29,normal,0,0,0,-0.14654556,0.00034448566,1.6200001239776611
주택용,2023-02-18,normal,0,0,1,-0.18087628,5.9162678e-05,7.21999979019165
주택용,2025-03-10,normal,0,0,0,-0.16311605,0.00023450724,2.5500004291534424
주택용,2022-02-11,normal,0,0,0,-0.17093319,6.368163e-05,8.200000762939453
주택용,2025-10-20,normal,0,0,0,-0.110124916,0.00029204856,3.240000009536743
주택용,2025-02-24,normal,0,0,1,-0.1708258,7.074193e-05,1.950000286102295
주택용,2021-05-12,normal,0,0,0,-0.1725298,0.00017224153,2.2900002002716064
주택용,2023-05-03,normal,0,0,0,-0.1731575,0.00012646368,3.000000476837158
주택용,2022-10-10,normal,0,0,1,-0.05153672,0.001028545,3.8899998664855957
주택용,2024-03-29,normal,0,0,0,-0.15818596,4.9996732e-05,4.28000020980835
주택용,2021-06-16,normal,0,0,1,-0.1632483,0.0001449209,3.4100003242492676
주택용,2023-11-24,normal,0,0,0,-0.17100911,8.940135e-05,0.8499999046325684
주택용,2022-12-18,normal,0,0,0,-0.18386862,2.501107e-05,6.190000534057617
주택용,2025-12-24,normal,0,0,0,-0.18217246,5.855449e-05,1.7599999904632568
주택용,2024-11-30,normal,0,0,0,-0.16695936,3.8808084e-05,14.09000015258789
주택용,2023-10-19,normal,0,0,1,-0.14559041,0.00034441776,2.1399998664855957
주택용,2021-12-20,normal,0,0,1,-0.15801692,5.0898623e-05,21.770000457763672
주택용,2022-05-15,normal,0,0,0,-0.14989324,0.0005172551,1.440000057220459
